epoch;acc;loss
0;0.45711291658041814;2.2934601347568835
1;0.7553430966673567;0.9419790487917677
2;0.818185934589112;0.6884420385205999
3;0.8664743324363485;0.503611173416746
4;0.9031515214241358;0.3656668042379663
5;0.9301839681225419;0.26455876580781695
6;0.9484514075760712;0.19441969823855634
7;0.9619773338853239;0.1466726304565525
8;0.9704641896087767;0.11126477014207088
9;0.9768616746015317;0.08838298398290192
0;0.4942752535706893;2.145333369982166
1;0.7598129269302422;0.9238673442146887
2;0.8199583419581867;0.678631979124661
3;0.8668236389981371;0.49887975748097074
4;0.903701355826951;0.3626810601565241
5;0.9294724177188988;0.26389219820722276
6;0.9490271165390188;0.1932699259705907
7;0.9615180604429725;0.1452588010525369
8;0.9711628027323536;0.11006160301306325
9;0.9767775822811012;0.08588530508397177
10;0.9813509107845166;0.0697051494391744
11;0.9843588283999172;0.057661960503867016
12;0.9867198820120058;0.04863331413440733
13;0.9881882632995239;0.04235711850196069
14;0.9899218588283999;0.037266435996494277
15;0.990846874353136;0.03226515511547381
16;0.9916231111571103;0.029510441034961466
17;0.9924446284413165;0.026658891999600816
0;0.46267594700890086;2.2929101727858163
1;0.7515071931277169;0.9597337413922374
2;0.8141171600082798;0.704556996282325
3;0.8609824570482302;0.5225410030121834
4;0.8985329124404885;0.3805196557615798
5;0.9265550610639619;0.2772603062409665
